Dataset,Experiment,Folder,Average_SAD,Average_MSE,STD_SAD,STD_MSE
Samson,"Results (25 runs, no seed, diff images)","Blur (sigma = [0.1, 1.0])",[0.07489481 0.04171163 0.02150855],[0.03676511 0.02046375 0.01378584],[0.12481445 0.00815555 0.00356642],[0.02554134 0.01508783 0.00565557]
Samson,"Results (25 runs, no seed, diff images)","Blur (sigma = [0.1, 2.0])",[0.05085009 0.03963101 0.02048439],[0.03147985 0.01702133 0.01359062],[0.02785108 0.00142234 0.00263651],[0.00663136 0.00514413 0.00239063]
Samson,"Results (25 runs, no seed, diff images)",Crop (50),[0.05325709 0.04105935 0.02817271],[0.03375569 0.01888244 0.0135976 ],[0.02722421 0.00183174 0.00407019],[0.00910739 0.0069591  0.00223412]
Samson,"Results (25 runs, no seed, diff images)",Crop (75),[0.04736427 0.04020083 0.03125418],[0.03099151 0.01675293 0.0129346 ],[0.01391147 0.00123292 0.00570249],[0.00863712 0.00632825 0.00242844]
Samson,"Results (25 runs, no seed, diff images)",Crop (95),[0.05538568 0.04096571 0.02837256],[0.03398933 0.01900532 0.01347624],[0.031173   0.00207185 0.00516691],[0.00810637 0.00532664 0.00303259]
Samson,"Results (25 runs, no seed, diff images)",Vertical Flip,[0.03472055 0.03943264 0.29274195],[0.03380841 0.01619371 0.02151978],[0.01592916 0.00130548 0.01114137],[0.00832166 0.00560973 0.00269951]
Samson,"Results (25 runs, no seed, diff images)",Horizontal Flip,[0.0344732  0.03872181 0.2896429 ],[0.03592004 0.01738523 0.02214704],[0.02095264 0.0016286  0.01191738],[0.00685271 0.00521323 0.00346264]
Samson,"Results (25 runs, no seed, diff images)",Mix Flip,[0.03478315 0.03903403 0.29391775],[0.03359501 0.01352094 0.02221475],[0.00848483 0.00109181 0.00938051],[0.00553447 0.00284662 0.00304643]
Samson,"Results (25 runs, no seed, diff images)",Random Flip,[0.04244378 0.03914428 0.2931204 ],[0.03658684 0.01583045 0.02395896],[0.03952564 0.00099586 0.00873902],[0.00903825 0.00541258 0.00501197]
Samson,"Results (25 runs, no seed, diff images)",Jitter,[0.07230996 0.04335375 0.02218111],[0.03796877 0.02308672 0.01162146],[0.1220196  0.00512085 0.00450028],[0.02477851 0.02015971 0.00253766]
Samson,"Results (25 runs, no seed, diff images)",Crop + Blur,[0.0435442  0.03921442 0.02794155],[0.01832257 0.00987686 0.0088313 ],[0.00650537 0.00056621 0.00283944],[0.01010595 0.00962784 0.00122754]
Samson,"Results (25 runs, no seed, diff images)",Crop + Flip,[0.02764556 0.03836007 0.31862405],[0.03223089 0.02133473 0.02403563],[0.0046402  0.00046876 0.02310252],[0.00443728 0.00421412 0.00266242]
Samson,"Results (25 runs, no seed, diff images)",Crop + Flip + Blur,[0.02995033 0.03721985 0.34437227],[0.0360647  0.01876308 0.02845718],[0.00360202 0.00062661 0.02435961],[0.01401993 0.00524298 0.00816792]
Samson,"Results (25 runs, no seed, diff images)",Crop + Jitter,[0.03942275 0.04081781 0.03094226],[0.01847054 0.00957024 0.00891866],[0.01037389 0.00080366 0.00410999],[0.00429653 0.00306013 0.00156814]
