Dataset,Experiment,Folder,Average_SAD,Average_MSE,STD_SAD,STD_MSE
JasperRidge,"Results (25 runs, seed, same images)",Crop (75),[0.13218494 0.06465473 0.09826121 0.29094455],,[0.04410306 0.00686728 0.0477013  0.06679785],
JasperRidge,"Results (25 runs, seed, same images)",Crop (95),[0.07838149 0.04591794 0.08357245 0.29706067],,[0.02897328 0.00430956 0.04561422 0.15842235],
JasperRidge,"Results (25 runs, seed, same images)",Vertical Flip,[0.0982272  0.06158761 0.11526237 0.37110355],,[0.0329487  0.00877075 0.04513206 0.19872332],
JasperRidge,"Results (25 runs, seed, same images)",Horizontal Flip,[0.09448729 0.04637766 0.08294597 0.4030913 ],,[0.01458708 0.00671413 0.02727386 0.26927277],
JasperRidge,"Results (25 runs, seed, same images)",Mix Flip,[0.08210593 0.05629079 0.08505592 0.4161166 ],,[0.00958507 0.00977317 0.04688414 0.322433  ],
JasperRidge,"Results (25 runs, seed, same images)",Random Flip,[0.09271731 0.05407662 0.07610364 0.359836  ],,[0.02361109 0.00930163 0.0319639  0.25026378],
JasperRidge,"Results (25 runs, seed, same images)",Jitter,[0.07515629 0.04736123 0.0745023  0.33867344],,[0.02448005 0.00535804 0.03117139 0.16407238],
JasperRidge,"Results (25 runs, seed, same images)",Crop + Blur,[0.07789694 0.04425243 0.07021384 0.29866782],,[0.02776126 0.00457743 0.01920798 0.150793  ],
JasperRidge,"Results (25 runs, seed, same images)",Crop + Flip,[0.09386486 0.05488321 0.09583798 0.3874725 ],,[0.02894009 0.00994125 0.04867654 0.31311733],
JasperRidge,"Results (25 runs, seed, same images)",Crop + Flip + Blur,[0.10363998 0.05139892 0.09727088 0.37171447],,[0.02795092 0.00860516 0.05132161 0.23179331],
JasperRidge,"Results (25 runs, seed, same images)",Crop + Jitter,[0.07160336 0.04749528 0.08824545 0.30980495],,[0.02954587 0.00332729 0.06024637 0.18989645],
JasperRidge,"Results (25 runs, seed, same images)",Crop + Jitter + Blur,[0.06789587 0.04416338 0.07701003 0.256237  ],,[0.02046501 0.00351324 0.02847472 0.10577622],
JasperRidge,"Results (25 runs, seed, same images)",Crop + Jitter + Flip,[0.10738522 0.05144421 0.07839345 0.5302664 ],,[0.03113217 0.00772766 0.04468338 0.28934556],
JasperRidge,"Results (25 runs, seed, same images)",Jitter + Flip,[0.10188444 0.0618683  0.11725876 0.37415937],,[0.03378949 0.0109996  0.05660968 0.27588665],
JasperRidge,"Results (25 runs, seed, same images)",Jitter + Flip + Blur,[0.09117363 0.05080899 0.09939729 0.52004063],,[0.02361062 0.00952215 0.05940756 0.3535053 ],
