Dataset,Experiment,Folder,Average_SAD,Average_MSE,STD_SAD,STD_MSE
Cuprite_fixed,"Results (25 runs, no seed, diff images)",Crop + Jitter + Blur,"[0.2642717  0.07992573 0.13460782 0.08998703 0.10334261 0.05643555
 0.1706441  0.07913306 0.08073538 0.05801593 0.06831821 0.10511813]",,"[0.02507581 0.00359558 0.00706449 0.00316661 0.00980986 0.00404659
 0.01815462 0.00798168 0.00528702 0.00998528 0.01645158 0.01541738]",
Cuprite_fixed,"Results (25 runs, no seed, diff images)",Crop + Jitter + Flip,"[0.26559043 0.07526659 0.14424384 0.08880537 0.10371157 0.06580197
 0.17112322 0.08826566 0.09812918 0.0630886  0.10849009 0.10145801]",,"[0.04260428 0.00404411 0.01074126 0.0046404  0.0118299  0.00719959
 0.03215984 0.01148636 0.01037032 0.00882681 0.04072388 0.00869326]",
Cuprite_fixed,"Results (25 runs, no seed, diff images)",Jitter + Flip,"[0.28331506 0.0748349  0.14632127 0.08650953 0.10711125 0.05936331
 0.18000846 0.08118732 0.09621102 0.06334347 0.07829785 0.12188628]",,"[0.05301807 0.00627057 0.0205614  0.00463734 0.01416589 0.00523038
 0.02301853 0.01031146 0.01010768 0.00672915 0.02319771 0.02361505]",
Cuprite_fixed,"Results (25 runs, no seed, diff images)",Jitter + Flip + Blur,"[0.2696665  0.07510375 0.1357114  0.08802073 0.10930862 0.06494552
 0.16853681 0.08394814 0.08725467 0.06910264 0.1134995  0.10379867]",,"[0.04227714 0.00515659 0.00833086 0.00548828 0.013779   0.00576815
 0.02834665 0.00909337 0.01158498 0.01201421 0.02705805 0.01873373]",
Cuprite_fixed,"Results (25 runs, no seed, same images)","Blur (sigma = [0.1, 1.0])","[0.29814792 0.08884583 0.1420938  0.08854066 0.1017544  0.05033929
 0.17367981 0.07728656 0.07806024 0.05287771 0.06639859 0.09789637]",,"[0.03346119 0.00548628 0.01162666 0.00454837 0.00732333 0.0006998
 0.02875709 0.00708975 0.00572148 0.00228041 0.01226309 0.01371901]",
Cuprite_fixed,"Results (25 runs, no seed, same images)","Blur (sigma = [0.1, 2.0])","[0.28885034 0.08818624 0.13484217 0.09124628 0.09730917 0.05077422
 0.1611536  0.07289698 0.07910189 0.05343023 0.07361778 0.10260969]",,"[0.03839551 0.00516541 0.01148352 0.00467948 0.00436002 0.0016797
 0.0188677  0.00816269 0.00565691 0.00183444 0.01235229 0.01455847]",
Cuprite_fixed,"Results (25 runs, no seed, same images)",Crop (50),"[0.28892082 0.09385628 0.1483996  0.08624405 0.09359928 0.06792211
 0.17357235 0.08811206 0.07902235 0.05663928 0.06253392 0.09504797]",,"[0.0299874  0.00300456 0.00852447 0.00313961 0.00852709 0.00326638
 0.0276953  0.00593686 0.00409299 0.00251914 0.0065212  0.01262082]",
Cuprite_fixed,"Results (25 runs, no seed, same images)",Crop (75),"[0.30477864 0.08651819 0.1485389  0.08756164 0.09998617 0.05387118
 0.18094882 0.08814777 0.08852755 0.05473191 0.08077348 0.10428572]",,"[0.03884329 0.00588035 0.01272877 0.00661885 0.01327628 0.00246651
 0.02000633 0.0120665  0.00835079 0.00312819 0.01284988 0.02605944]",
Cuprite_fixed,"Results (25 runs, no seed, same images)",Crop (95),"[0.3142575  0.08662318 0.14793815 0.09250361 0.10717674 0.05186271
 0.17643644 0.07297568 0.08083595 0.05438441 0.07468429 0.1044487 ]",,"[0.04090301 0.00602533 0.01346746 0.00677251 0.01663452 0.00137507
 0.02734535 0.00800839 0.0075805  0.00364668 0.0137833  0.01990404]",
Cuprite_fixed,"Results (25 runs, no seed, same images)",Vertical Flip,"[0.31822026 0.08851084 0.1415106  0.0920527  0.10850423 0.05187247
 0.1733121  0.06756447 0.08042563 0.0530481  0.0631149  0.10579384]",,"[0.06246246 0.01097058 0.01622025 0.00400864 0.01472307 0.00188216
 0.02792974 0.00450569 0.00763905 0.00303159 0.01124687 0.01140768]",
Cuprite_fixed,"Results (25 runs, no seed, same images)",Horizontal Flip,"[0.28645575 0.07365052 0.13583992 0.08907266 0.11061363 0.0625874
 0.17363958 0.07141622 0.09738073 0.06345773 0.09708186 0.11755878]",,"[0.0523551  0.00496718 0.0090063  0.00455313 0.01495924 0.00497595
 0.02649399 0.01676616 0.01174767 0.00717808 0.0247494  0.01316248]",
Cuprite_fixed,"Results (25 runs, no seed, same images)",Mix Flip,"[0.31161654 0.07299581 0.13359824 0.09181677 0.10275725 0.0635894
 0.16510984 0.0827802  0.1004798  0.06798369 0.09625952 0.119719  ]",,"[0.03963672 0.00342867 0.01143498 0.00473049 0.01052846 0.00403685
 0.03466255 0.00985195 0.00851496 0.00701116 0.01862775 0.01773456]",
Cuprite_fixed,"Results (25 runs, no seed, same images)",Random Flip,"[0.2887     0.07761227 0.13979147 0.09079245 0.10797569 0.05562735
 0.17211723 0.0727846  0.08819336 0.06972687 0.08880411 0.11261889]",,"[0.05164459 0.00557201 0.01306463 0.00362162 0.01309951 0.00444271
 0.01790323 0.00869453 0.00942363 0.01711785 0.02277836 0.0133858 ]",
Cuprite_fixed,"Results (25 runs, no seed, same images)",Jitter,"[0.30398786 0.08542644 0.14701805 0.09104324 0.10957104 0.05063104
 0.15880245 0.06751303 0.08261843 0.05181791 0.06636941 0.11534395]",,"[0.06668024 0.0081151  0.01880851 0.0048469  0.01642286 0.00154404
 0.02742857 0.00517621 0.00765248 0.00291258 0.01240014 0.02432731]",
Cuprite_fixed,"Results (25 runs, no seed, same images)",Crop + Blur,"[0.28869775 0.08574066 0.1450459  0.09098352 0.1066387  0.05014174
 0.16151728 0.08041011 0.08491447 0.05289219 0.07348873 0.10365309]",,"[0.04469224 0.00450419 0.00985943 0.00374543 0.01170955 0.0005771
 0.02701153 0.01196688 0.00762039 0.00202159 0.01340201 0.01961382]",
Cuprite_fixed,"Results (25 runs, no seed, same images)",Crop + Flip,"[0.32923454 0.08442261 0.13870606 0.0898599  0.1080602  0.05423467
 0.17767482 0.08491253 0.08728592 0.06176291 0.08167838 0.10896669]",,"[0.02123098 0.01038051 0.01128177 0.00453065 0.01390838 0.00360489
 0.01661395 0.01394867 0.00986424 0.01255751 0.01470053 0.02504088]",
